<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.01.14	00:00:00	1253.967	1255.028	1241.646	1243.309	68832	0	0
2014.01.15	00:00:00	1243.300	1243.919	1234.216	1240.926	78349	0	0
2014.01.16	00:00:00	1240.921	1245.040	1236.312	1241.981	72621	0	0
2014.01.17	00:00:00	1241.983	1254.789	1237.708	1253.669	76228	0	0
2014.01.19	00:00:00	1253.814	1260.701	1251.230	1256.148	3730	0	0
2014.01.20	00:00:00	1256.135	1258.051	1251.832	1255.170	30868	0	0
2014.01.21	00:00:00	1255.171	1255.175	1235.572	1242.842	79806	0	0
2014.01.22	00:00:00	1242.821	1243.498	1235.523	1236.970	51658	0	0
2014.01.23	00:00:00	1236.939	1265.188	1231.360	1262.493	101321	0	0
2014.01.24	00:00:00	1262.488	1272.425	1256.864	1269.783	103553	0	0
2014.01.26	00:00:00	1269.189	1278.654	1266.663	1275.328	4026	0	0
2014.01.27	00:00:00	1275.332	1276.315	1251.934	1257.931	92653	0	0
2014.01.28	00:00:00	1257.928	1261.174	1247.776	1252.490	78000	0	0
2014.01.29	00:00:00	1252.474	1269.933	1250.861	1266.592	84614	0	0
2014.01.30	00:00:00	1266.596	1267.480	1237.949	1244.695	86551	0	0
2014.01.31	00:00:00	1244.639	1254.823	1238.433	1243.995	73264	0	0
2014.02.02	00:00:00	1243.734	1243.908	1241.855	1243.555	2134	0	0
2014.02.03	00:00:00	1243.563	1266.152	1240.720	1259.562	86327	0	0
2014.02.04	00:00:00	1259.566	1260.697	1247.240	1252.813	70580	0	0
2014.02.05	00:00:00	1252.810	1274.076	1252.114	1258.916	76845	0	0
2014.02.06	00:00:00	1258.905	1266.872	1252.749	1256.432	63156	0	0
2014.02.07	00:00:00	1256.440	1271.628	1255.152	1267.011	77777	0	0
2014.02.09	00:00:00	1266.683	1269.680	1265.080	1267.262	2215	0	0
2014.02.10	00:00:00	1267.252	1277.743	1264.936	1273.779	69231	0	0
2014.02.11	00:00:00	1273.784	1293.633	1273.624	1286.769	86855	0	0
2014.02.12	00:00:00	1286.767	1296.123	1283.916	1291.676	55848	0	0
2014.02.13	00:00:00	1291.684	1302.732	1286.177	1300.285	84540	0	0
2014.02.14	00:00:00	1300.303	1321.032	1299.777	1318.291	90615	0	0
2014.02.16	00:00:00	1318.293	1324.007	1318.293	1323.363	3558	0	0
2014.02.17	00:00:00	1323.359	1339.823	1320.987	1328.289	43582	0	0
2014.02.18	00:00:00	1328.268	1329.020	1312.541	1320.415	88976	0	0
2014.02.19	00:00:00	1320.437	1322.206	1308.815	1311.737	60314	0	0
2014.02.20	00:00:00	1311.715	1324.834	1306.939	1320.551	104572	0	0
